Date,XEM,EOS,XMR,DOT,USDC,UNI,BNB,MIOTA,AAVE,SOL,BTC,ADA,USDT,ATOM,LINK,LTC,XRP,ETH,TRX,XLM,CRO,DOGE,WBTC
2020-10-22 23:59:59,0.10888241,2.67513903,127.06774746,4.26894964,0.99999266,3.03945049,30.6581907,0.28221205,38.03165056,1.95565252,12965.89129043,0.11057174,1.00109146,5.42904648,11.93933492,54.26727705,0.25680737,413.77299269,0.02704168,0.08528012,0.09612478,0.00265502,12941.39851352
2020-10-23 23:59:59,0.10757687,2.64248321,127.29602127,4.2668497,1.0003127,3.01219005,30.63396067,0.27579823,41.68663736,1.96003515,12931.53902256,0.10808285,1.00065675,5.36967054,12.16379485,55.23868781,0.25487888,409.76669164,0.02669117,0.08379547,0.10076519,0.0026469,12914.28103537
2020-10-24 23:59:59,0.10601214,2.65023951,128.99570152,4.35534397,0.99992771,2.943257,30.58882127,0.28761889,39.45502214,1.91182801,13108.06261161,0.10807512,1.00090892,5.55565402,12.73154846,59.0955865,0.25643078,412.45761883,0.02705049,0.08543687,0.10179292,0.0026455,13106.40553066
2020-10-25 23:59:59,0.10553837,2.69436689,130.79930975,4.33523061,1.00019472,2.77574688,30.10754117,0.2778596,37.90476078,1.78745942,13031.17431056,0.10635066,1.00072093,5.29901023,12.16005893,58.67479959,0.25321315,406.2177613,0.02693528,0.08314275,0.09665925,0.00265314,13030.17959817
2020-10-26 23:59:59,0.09943412,2.62851339,132.02179608,4.72701624,1.00017605,2.72590258,31.1545605,0.2740293,36.03392191,1.68546625,13075.24769656,0.10309702,1.0009582,5.15221952,11.74790244,56.74577824,0.24868771,393.88831313,0.02676151,0.08090656,0.09615273,0.00267853,13054.63449324
2020-10-27 23:59:59,0.09676365,2.6641074,133.72808616,4.68395195,0.99999504,2.82239855,31.63872183,0.27705514,34.87153083,1.71023239,13654.21844012,0.10282683,1.00022281,5.15698607,11.97383673,57.81605141,0.25289944,403.99704505,0.02696136,0.08180863,0.09842109,0.00267665,13617.29388511
2020-10-28 23:59:59,0.09341504,2.65461466,126.3503675,4.36509669,1.00008227,2.67611603,30.363506,0.26829686,32.39408292,1.49005343,13271.28536861,0.09897673,1.00034047,4.80791712,11.4617424,55.74251071,0.24586472,388.65077072,0.02685205,0.07859164,0.08930957,0.00259499,13225.86486601
2020-10-29 23:59:59,0.09766552,2.62791437,124.28270385,4.05334477,1.00014562,2.54161629,29.84247846,0.25910243,29.09833402,1.42893639,13437.8832414,0.09537568,1.00034905,4.62976658,11.26514099,54.76585539,0.24229485,386.7301135,0.02648968,0.07745294,0.09025684,0.00258066,13413.61231564
2020-10-30 23:59:59,0.09568034,2.50547713,122.95085625,4.08811312,1.00026456,2.41416755,28.50841223,0.25731874,31.21782294,1.44133589,13546.52226938,0.09336885,1.0009044,4.62476393,11.09855655,53.83503374,0.23918382,382.81999199,0.02562615,0.0767633,0.08411126,0.00259836,13503.27401068
2020-10-31 23:59:59,0.09641862,2.52105046,126.33506906,4.18176751,1.00027771,2.26642787,28.43121469,0.25286795,29.70751775,1.54069959,13780.99470249,0.09305597,1.00020042,4.62013084,11.22083857,55.59026116,0.2397442,386.59033529,0.02576956,0.07767283,0.08415107,0.00257594,13715.39643563
2020-11-01 23:59:59,0.09822426,2.51179841,126.55530117,4.22561493,1.00030367,2.37930546,28.46156546,0.25124781,30.65727643,1.5998403,13737.10982864,0.09819689,1.00037867,4.7356045,11.53662956,55.5876231,0.23979745,396.35818693,0.02572745,0.07847773,0.08420598,0.00258175,13649.20393816
2020-11-02 23:59:59,0.09973025,2.43064366,118.7344225,4.0302315,1.00026769,2.25425989,27.88393056,0.24610987,29.73152358,1.47407225,13550.4893841,0.09214304,1.00052331,4.61016451,10.7975786,53.81748107,0.23542055,383.15673256,0.02443304,0.07566041,0.07994446,0.00251712,13432.17517808
2020-11-03 23:59:59,0.09912676,2.36103488,120.73329762,4.02546848,0.99997228,2.13431874,26.85704897,0.24446382,28.04280321,1.41223396,13950.30084729,0.09343444,1.00055231,4.47697378,10.3870017,53.81962176,0.23951003,387.60217328,0.02441623,0.07531125,0.07933936,0.00252762,13913.52510466
2020-11-04 23:59:59,0.09747646,2.349333,115.9558376,4.09808333,1.00034756,1.93011859,26.93151415,0.23619344,27.71508436,1.39225494,14133.70715301,0.09536906,1.0010787,4.38550943,10.47258743,54.49910437,0.23779264,402.14199843,0.02419648,0.07459282,0.07696293,0.00253328,14066.74765791
