Date,Close
7/8/2021,32844.55078
7/9/2021,33860.86719
7/10/2021,33516.69141
7/11/2021,34253.77344
7/12/2021,33209.6875
7/13/2021,32691.93555
7/14/2021,32804.84375
7/15/2021,31650.25195
7/16/2021,31484.57617
7/17/2021,31570.66797
7/18/2021,31763.17969
7/19/2021,30828.94922
7/20/2021,29707.0625
7/21/2021,32092.53516
7/22/2021,32331.95508
7/23/2021,33569.3125
7/24/2021,34253.59766
7/25/2021,35268.89063
7/26/2021,37394.27734
7/27/2021,39128.19531
7/28/2021,39992.64844
7/29/2021,40040.90234
7/30/2021,42054.40234
7/31/2021,41713.5625
8/1/2021,40007.86719
8/2/2021,39131.11719
8/3/2021,38145.42188
8/4/2021,39804.08203
8/5/2021,40895.66406
8/6/2021,42881.55078
8/7/2021,44459.34766
8/8/2021,43832.58984
8/9/2021,46282.23047
8/10/2021,45588.17188
8/11/2021,45656.46484
8/12/2021,44331.1875
8/13/2021,47822.35938
8/14/2021,47081.77344
8/15/2021,47186.20703
8/16/2021,46012.87891
8/17/2021,44669.03125
8/18/2021,44809.68359
8/19/2021,46710.85156
8/20/2021,49250.19141
8/21/2021,48973.21484
8/22/2021,49351.13281
8/23/2021,49520.91406
8/24/2021,47795.16797
8/25/2021,48967.05859
8/26/2021,46927.92188
8/27/2021,48982.71484
8/28/2021,48849.90625
8/29/2021,48829.46875
8/30/2021,46990.54688
8/31/2021,47486.02734
9/1/2021,48977.07031
9/2/2021,49459.67969
9/3/2021,50029.29297
9/4/2021,50168.62891
9/5/2021,51690.33984
9/6/2021,52565.64063
9/7/2021,46838.8125
9/8/2021,46230.40625
9/9/2021,46382.96484
9/10/2021,44807.08203
9/11/2021,45183.80078
9/12/2021,46113.16797
9/13/2021,45017.08984
9/14/2021,47070.90234
9/15/2021,48186.66797
9/16/2021,47830.70703
9/17/2021,47228.11328
9/18/2021,48246.54297
9/19/2021,47241.54688
9/20/2021,42910.76563
9/21/2021,40619.1875
9/22/2021,43555.64844
9/23/2021,44875.33984
9/24/2021,42810.40234
9/25/2021,42724.36719
9/26/2021,43258.67969
9/27/2021,42256.56641
9/28/2021,41040.36719
9/29/2021,41529.92969
9/30/2021,43763.16016
10/1/2021,48131.40625
10/2/2021,47744.94141
10/3/2021,48234.76563
10/4/2021,49086.17578
10/5/2021,51482.84766
10/6/2021,55372.35938
10/7/2021,53884.39844
10/8/2021,53959.8125
10/9/2021,55051.02734
10/10/2021,54837.97266
10/11/2021,57536.64453
10/12/2021,56056.80469
10/13/2021,57433.72266
10/14/2021,57488.42188
10/15/2021,61630.56641
10/16/2021,60903.71484
10/17/2021,61557.80469
10/18/2021,62039.26172
10/19/2021,64304.82031
10/20/2021,66072.19531
10/21/2021,62291.10938
10/22/2021,60729.87891
10/23/2021,61412.62891
10/24/2021,60966.89453
10/25/2021,63087.21875
10/26/2021,60446.07813
10/27/2021,58572.05078
10/28/2021,60720.63672
10/29/2021,62281.42188
10/30/2021,61806.46875
10/31/2021,61380.59375
11/1/2021,61054.3125
11/2/2021,63261.32031
11/3/2021,63216.78906
11/4/2021,61496.23438
11/5/2021,61212.69141
11/6/2021,61540.98438
11/7/2021,63331.40234
11/8/2021,67549.22656
11/9/2021,67017.89063
11/10/2021,64089.13281
11/11/2021,65114.20313
11/12/2021,64214.85938
11/13/2021,65546.46875
11/14/2021,64581.36328
11/15/2021,63480.94141
11/16/2021,59078.88281
11/17/2021,59437.99609
11/18/2021,55780.32031
11/19/2021,57648.71484
11/20/2021,59557.96875
11/21/2021,58316.12109
11/22/2021,55790.24219
11/23/2021,57166.94141
11/24/2021,56062.92188
11/25/2021,56871.9375
11/26/2021,53213.5625
11/27/2021,53844.35547
11/28/2021,56022.03516
11/29/2021,57117.32422
11/30/2021,55833.16016
12/1/2021,56185.11719
12/2/2021,55728.46875
12/3/2021,52643.39453
12/4/2021,48835.70313
12/5/2021,49009.36328
12/6/2021,50185.42188
12/7/2021,50356.11328
12/8/2021,50189.5
12/9/2021,47562.38281
12/10/2021,47065.9375
12/11/2021,48772.82031
12/12/2021,49638.46094
12/13/2021,46476.16797
12/14/2021,46508.4375
12/15/2021,48551.97656
12/16/2021,47512.50781
12/17/2021,46342.39063
12/18/2021,46717.58984
12/19/2021,46596.28516
12/20/2021,46739.10547
12/21/2021,48264.77344
12/22/2021,48262.42188
12/23/2021,50661.59766
12/24/2021,50741.74219
12/25/2021,50854.57813
12/26/2021,50703.69141
12/27/2021,50704.61328
12/28/2021,48013.63281
12/29/2021,47103.53906
12/30/2021,47574.25
12/31/2021,46434.09375
1/1/2022,47578.89453
1/2/2022,47344.50781
1/3/2022,46453.05078
1/4/2022,46118.42578
1/5/2022,43593.87891
1/6/2022,43149.34766
1/7/2022,41612.62109
1/8/2022,41777.41406
1/9/2022,42006.21875
1/10/2022,41694.1875
1/11/2022,42746.75391
1/12/2022,43894.32422
1/13/2022,42638.125
1/14/2022,43113.03906
1/15/2022,43219.32031
1/16/2022,43166.19531
1/17/2022,42171.62891
1/18/2022,42323.5625
1/19/2022,41716.42578
1/20/2022,40832.67188
1/21/2022,36460.80469
1/22/2022,35018.86328
1/23/2022,36278.64453
1/24/2022,36672.01563
1/25/2022,36965.53516
1/26/2022,36820.75
1/27/2022,36999.63672
1/28/2022,37831.42188
1/29/2022,38143.35156
1/30/2022,37961.93359
1/31/2022,38464.19141
2/1/2022,38764.17969
2/2/2022,36993.66797
2/3/2022,37016.14063
2/4/2022,41192.44531
2/5/2022,41467.53516
2/6/2022,42249.07422
2/7/2022,43848.54297
2/8/2022,44084.83203
2/9/2022,44407.03906
2/10/2022,43520.98828
2/11/2022,42370.72656
2/12/2022,42142.625
2/13/2022,42211.69141
2/14/2022,42564.40234
2/15/2022,44474.16797
2/16/2022,43958.50391
2/17/2022,40577.99219
2/18/2022,40044.78516
2/19/2022,40102.14453
2/20/2022,38448.36328
2/21/2022,37093.19141
2/22/2022,38230.69141
2/23/2022,37260.75391
2/24/2022,38276.01953
2/25/2022,39243.10938
2/26/2022,39067.99609
2/27/2022,37685.96094
2/28/2022,43153.66016
3/1/2022,44214.28125
3/2/2022,43949.08594
3/3/2022,42490.98828
3/4/2022,39197.29688
3/5/2022,39386.60938
3/6/2022,38386.76563
3/7/2022,38061.21484
3/8/2022,38720.22266
3/9/2022,41976.69141
3/10/2022,39340.5
3/11/2022,38801.07422
3/12/2022,38908.78125
3/13/2022,37860.71094
3/14/2022,39567.95703
3/15/2022,39384.00391
3/16/2022,41097.11328
3/17/2022,40912.75
3/18/2022,41780.75391
3/19/2022,42126.375
3/20/2022,41208.58203
3/21/2022,41040.60938
3/22/2022,42381.58594
3/23/2022,42775.64063
3/24/2022,43973.78125
3/25/2022,44332.67578
3/26/2022,44509.61328
3/27/2022,46756.94531
3/28/2022,47127.95703
3/29/2022,47491.41406
3/30/2022,47076.78906
3/31/2022,45554.72656
4/1/2022,46250.35156
4/2/2022,45913.30469
4/3/2022,46522.60156
4/4/2022,46547.21484
4/5/2022,45553.94141
4/6/2022,43256.30078
4/7/2022,43555.67969
4/8/2022,42300.80859
4/9/2022,42739.55469
4/10/2022,42250.06641
4/11/2022,39582.36328
4/12/2022,40099.51563
4/13/2022,41201.24609
4/14/2022,39976.37109
4/15/2022,40494.23828
4/16/2022,40490.66797
4/17/2022,39690.26563
4/18/2022,40845.96875
4/19/2022,41471.80469
4/20/2022,41408.25
4/21/2022,40471.81641
4/22/2022,39696.04297
4/23/2022,39475.82813
4/24/2022,39473.125
4/25/2022,40405.26953
4/26/2022,38076.35938
4/27/2022,39180.25391
4/28/2022,39805.80859
4/29/2022,38568.33594
4/30/2022,37657.30078
5/1/2022,38467
5/2/2022,38607.60938
5/3/2022,37769.41797
5/4/2022,39757.71484
5/5/2022,36523.57813
5/6/2022,36053.52734
5/7/2022,35479.14453
5/8/2022,34066.44531
5/9/2022,30400.67578
5/10/2022,31029.58398
5/11/2022,28874.72266
5/12/2022,29059.27148
5/13/2022,29260.91406
5/14/2022,30101.37109
5/15/2022,31259.18555
5/16/2022,29863.64258
