Date,BTC,WBTC
2019-05-14 23:59:59,7994.41615632,7853.52617166
2019-05-15 23:59:59,8205.16749484,8122.91462882
2019-05-16 23:59:59,7884.90929094,7897.75438869
2019-05-17 23:59:59,7343.89571659,7353.53330263
2019-05-18 23:59:59,7271.20790408,7252.25323073
2019-05-19 23:59:59,8197.68969114,8213.82891953
2019-05-20 23:59:59,7978.30907244,7981.22788208
2019-05-21 23:59:59,7963.32777911,7947.65458373
2019-05-22 23:59:59,7680.06654589,7665.55158831
2019-05-23 23:59:59,7881.84672105,7859.69516543
2019-05-24 23:59:59,7987.37156583,8032.13578837
2019-05-25 23:59:59,8052.54385907,8028.05933998
2019-05-26 23:59:59,8673.21603511,8986.64917394
2019-05-27 23:59:59,8805.7783766,8811.50694705
2019-05-28 23:59:59,8719.9617362,8703.60875599
2019-05-29 23:59:59,8659.48775584,8687.09896572
2019-05-30 23:59:59,8319.47222898,8307.6058507
2019-05-31 23:59:59,8574.50164907,8676.86608024
2019-06-01 23:59:59,8564.01647182,8565.7632172
2019-06-02 23:59:59,8742.95810038,8706.11481843
2019-06-03 23:59:59,8208.99482964,8246.46764308
2019-06-04 23:59:59,7707.77077085,7706.95315789
2019-06-05 23:59:59,7824.23153913,7786.35973934
2019-06-06 23:59:59,7822.02338228,7815.00436148
2019-06-07 23:59:59,8043.95135807,8059.84601106
2019-06-08 23:59:59,7954.12772355,7916.60382349
2019-06-09 23:59:59,7688.07711075,7735.07306026
2019-06-10 23:59:59,8000.32982299,8032.71471336
2019-06-11 23:59:59,7927.71435114,7903.56579987
2019-06-12 23:59:59,8145.85747373,8160.58264659
2019-06-13 23:59:59,8230.92383068,8284.03311796
2019-06-14 23:59:59,8693.83281543,8698.64732016
2019-06-15 23:59:59,8838.37523367,8747.06994276
2019-06-16 23:59:59,8994.48801293,9027.37640579
2019-06-17 23:59:59,9320.35218253,9244.62550824
2019-06-18 23:59:59,9081.76285149,7953.18087686
2019-06-19 23:59:59,9273.52176614,9289.92149667
2019-06-20 23:59:59,9527.16035008,9129.09469917
2019-06-21 23:59:59,10144.5567168,8353.32154339
2019-06-22 23:59:59,10701.691013,10453.5341963
2019-06-23 23:59:59,10855.3710156,10809.8142002
2019-06-24 23:59:59,11011.1024485,11033.4440316
2019-06-25 23:59:59,11790.916533,9798.5984737
2019-06-26 23:59:59,13016.2317442,12510.2671096
2019-06-27 23:59:59,11182.8062855,11189.3583418
2019-06-28 23:59:59,12407.331998,12472.3978508
2019-06-29 23:59:59,11959.3709764,11992.2942758
2019-06-30 23:59:59,10817.1555981,10639.1561184
2019-07-01 23:59:59,10583.1345195,10675.2821342
2019-07-02 23:59:59,10801.6779238,10716.2792865
2019-07-03 23:59:59,11961.2693412,11993.9055918
2019-07-04 23:59:59,11215.4375483,11204.2710541
2019-07-05 23:59:59,10978.4599518,10917.224381
2019-07-06 23:59:59,11208.5508454,11266.4636283
2019-07-07 23:59:59,11450.8467553,11345.3277894
2019-07-08 23:59:59,12285.958217,12336.0807636
2019-07-09 23:59:59,12573.8129407,12499.5607211
2019-07-10 23:59:59,12156.5126313,12157.5776292
2019-07-11 23:59:59,11358.661752,11275.9756821
2019-07-12 23:59:59,11815.9866867,11873.9559637
2019-07-13 23:59:59,11392.3793357,11452.0644848
2019-07-14 23:59:59,10256.0582756,10243.17797
2019-07-15 23:59:59,10895.0893874,10858.4135057
2019-07-16 23:59:59,9477.64204235,9565.66870077
2019-07-17 23:59:59,9693.80272448,9676.64636118
2019-07-18 23:59:59,10666.4828491,10691.3929577
2019-07-19 23:59:59,10530.7326264,10589.6481459
2019-07-20 23:59:59,10767.1395226,10815.2466391
2019-07-21 23:59:59,10599.1053965,10548.9466434
2019-07-22 23:59:59,10343.1061684,10309.4035729
2019-07-23 23:59:59,9900.76801058,9852.63621495
2019-07-24 23:59:59,9811.92618837,9780.83564916
2019-07-25 23:59:59,9911.84226491,9872.20576693
2019-07-26 23:59:59,9870.30353766,9795.48587965
2019-07-27 23:59:59,9477.67767811,9407.1806791
2019-07-28 23:59:59,9552.86043541,9479.83618322
2019-07-29 23:59:59,9519.14591371,9536.61183237
2019-07-30 23:59:59,9607.42368665,9556.47593823
2019-07-31 23:59:59,10085.6277491,10154.1949491
2019-08-01 23:59:59,10399.6694229,10415.822412
2019-08-02 23:59:59,10518.1746772,10574.2751759
2019-08-03 23:59:59,10821.7265103,10911.371905
2019-08-04 23:59:59,10970.1842157,11017.8996636
2019-08-05 23:59:59,11805.6537253,11954.2762239
2019-08-06 23:59:59,11478.1693461,11454.6704802
2019-08-07 23:59:59,11941.9683406,11908.5482187
2019-08-08 23:59:59,11966.407405,11894.2858392
2019-08-09 23:59:59,11862.93676,11905.7125135
2019-08-10 23:59:59,11354.0242177,11387.7248772
2019-08-11 23:59:59,11523.5793784,11517.3238403
2019-08-12 23:59:59,11382.6159562,11430.226183
2019-08-13 23:59:59,10895.8304358,11025.7339527
2019-08-14 23:59:59,10051.7039313,9993.41576293
2019-08-15 23:59:59,10311.545429,10320.4802042
2019-08-16 23:59:59,10374.3393471,10413.7389938
2019-08-17 23:59:59,10231.7438454,10206.930256
2019-08-18 23:59:59,10345.8103795,10279.294013
2019-08-19 23:59:59,10916.0538702,10812.8684017
2019-08-20 23:59:59,10763.2326304,10763.5307695
